,TF,Coefficient,Class
1190,ENST00000248553,0.003029911322138625,Breast_Cancer
3126,ENST00000524851,0.0028870777016217456,Breast_Cancer
2565,ENST00000258743,0.002079918375324853,Breast_Cancer
4998,ENST00000355968,0.0015440692623238366,Breast_Cancer
4888,ENST00000341369,0.0015427486428638024,Breast_Cancer
2230,ENST00000674920,0.0015125810652696211,Breast_Cancer
1282,ENST00000224073,0.0014049472599772961,Breast_Cancer
2965,ENST00000368733,0.001070957353210265,Breast_Cancer
843,ENST00000216037,0.0007418628794755047,Breast_Cancer
2971,ENST00000366794,0.0006118919193258448,Breast_Cancer
3550,ENST00000438704,0.0006002672674207003,Breast_Cancer
3602,ENST00000419477,0.0005129172950490533,Breast_Cancer
1288,ENST00000346208,0.0004886230825890053,Breast_Cancer
4350,ENST00000395641,0.00048530366535073243,Breast_Cancer
2304,ENST00000600972,0.00045246065888510177,Breast_Cancer
