,index,Feature,Importance,Class
0,5356,ENST00000375055,0.24381095311595188,Normal_lung
1,5358,ENST00000375069,0.12649499069348094,Normal_lung
2,5359,ENST00000375076,0.11971812931795835,Normal_lung
3,732,ENST00000310346,0.10392599453038423,Normal_lung
4,4598,ENST00000373789,0.0907799735776722,Normal_lung
5,5357,ENST00000375067,0.06952091908777422,Normal_lung
6,1792,ENST00000367882,0.04336558730931345,Normal_lung
7,4599,ENST00000395260,0.03863108899855409,Normal_lung
8,1022,ENST00000262426,0.026731033993767906,Normal_lung
9,2633,ENST00000465858,0.022803314070177723,Normal_lung
10,2040,ENST00000374037,0.020000000000000004,Normal_lung
11,1471,ENST00000508515,0.012738068951036836,Normal_lung
12,1791,ENST00000237316,0.008958897623295402,Normal_lung
13,981,ENST00000379359,0.007000000000000001,Normal_lung
14,1940,ENST00000240335,0.006958708044901606,Normal_lung
